dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Allstate Claims Severity,extratrees,mi,0.25,0.7168307547871827,4685586.510335663,0.04002882586175172,0.7049926889026688,2162.274411585096,1.2131729333894328,48.035747758458214,1.2750802074636642,51.01408295839404
Allstate Claims Severity,extratrees,mi,0.5,0.6675956304442426,4108074.710942455,0.029663922737552202,0.6534632781013877,2026.1587829870657,1.2131729333894328,119.51255513738143,1.4649164860641273,122.70178793293114
Allstate Claims Severity,extratrees,mi,0.75,0.6645509619739387,4024454.972375118,0.033004563228674406,0.6579580306588817,2014.2744741644676,0.6011647999948294,190.8551237391189,1.4570821955244093,192.91337073463816
Allstate Claims Severity,extratrees,mi,1.0,0.6542665819580151,3974272.2736746967,0.030397961423350793,0.6375725666049408,1992.755574277977,0.0,258.47772166820164,1.4465786847363538,260.40149271952686
Allstate Claims Severity,extratrees,rfe,0.25,0.7072666017591234,4500605.37772439,0.035285806643175516,0.7003003812034685,2120.4086074110232,0.25786786000244316,47.937679883131445,1.2618183944025076,49.9694937743363
Allstate Claims Severity,extratrees,rfe,0.5,0.668672101995329,4119788.6541156084,0.030763734648933283,0.6558946097153079,2029.0253779870914,0.25786786000244316,115.53655884220498,1.4862672685335079,117.80472104373621
Allstate Claims Severity,extratrees,rfe,0.75,0.6615350473832856,4076758.73800808,0.033288604656314245,0.6523583671670102,2022.5926109469247,0.13016037782781267,187.1576899311208,1.5334530323830156,188.82130334133166
Allstate Claims Severity,extratrees,rfe,1.0,0.6542665819580151,3974272.2736746967,0.030397961423350793,0.6375725666049408,1992.755574277977,0.0,259.80643023385977,1.5526375437271782,261.823090363259
Allstate Claims Severity,extratrees,shap,0.25,0.7081911534161189,4551521.209167522,0.03482092514501445,0.6988256247115281,2132.3536153538084,8.652075253322256,48.30112935740035,1.4251422136750382,58.900102245043186
Allstate Claims Severity,extratrees,shap,0.5,0.6744670556828708,4142624.628319315,0.02764584250340316,0.6651104518772943,2034.4405065470569,8.652075253322256,125.47283034513627,1.5016515363240615,136.10716343592696
Allstate Claims Severity,extratrees,shap,0.75,0.6712369883491512,4088175.4668037775,0.029871210760848674,0.6639623082960177,2015.0004750182727,4.248066458097636,191.69540737050895,1.346070426199241,197.2895442548058
Allstate Claims Severity,extratrees,shap,1.0,0.6542665819580151,3974272.2736746967,0.030397961423350786,0.6375725666049408,1992.755574277977,0.0,258.6671502228671,1.2410540627354445,260.3139275727328
Allstate Claims Severity,extratrees,tree,0.25,0.7050707857284895,4227065.705432121,0.034591126874117924,0.6991613595501068,2055.193472126224,1.2290857326627398,55.432805324404036,1.4419893914018758,58.649342052654056
Allstate Claims Severity,extratrees,tree,0.5,0.6672880011357215,4014279.288440478,0.028202205667832547,0.6538044651812135,2002.7942319879937,1.2290857326627398,131.61526589440183,1.574600921664387,134.905569080795
Allstate Claims Severity,extratrees,tree,0.75,0.6572203876740857,3966256.2536705593,0.027203324047036955,0.6533603886330089,2002.1126339145171,0.6129447560605429,194.92115727342448,1.4306948607321752,196.96479689021723
Allstate Claims Severity,extratrees,tree,1.0,0.6542665819580151,3974272.2736746967,0.030397961423350786,0.6375725666049408,1992.755574277977,0.0,258.28261238653215,1.2662887165284096,259.9463299832035
Allstate Claims Severity,ridge,mi,0.25,0.756876020646317,4814533.679649067,0.056608550641129345,0.748577034268847,2193.2780469377676,1.0034054240056625,0.038044085140184765,0.00335310092971966,1.0448240486051266
Allstate Claims Severity,ridge,mi,0.5,0.711425573418539,4479597.477733152,0.041217033231372775,0.6923778894694474,2115.5749560707586,1.0034054240056625,0.08175418126629659,0.0041678387438878,1.0893514832753377
Allstate Claims Severity,ridge,mi,0.75,0.707234905275026,4427183.090896307,0.041885024386342076,0.6954005262726078,2077.688191286285,0.49878306695781377,0.14035090168589384,0.006456894806573607,0.6455908634502813
Allstate Claims Severity,ridge,mi,1.0,0.6992661947893687,4372325.798648859,0.0401219791540378,0.6797732195145492,2090.067727865751,0.0,0.19937163106321043,0.008765159873291805,0.20815866645813605
